job_id,user,partition,state,submit,start,end,elapsed,queuetime,alloccpus,cputime,cpueff,reqmem,maxrss,memeff,exitcode
105303,gw2965,nodes,COMPLETED,2026-08-05T14:21:37Z,2026-08-05T14:21:39Z,2026-08-05T14:21:41Z,2s,2.0s,6,2.9021s,24.184%,0.0MB,0.0MB,0.0%,0
105304,gw2965,nodes,COMPLETED,2026-08-05T14:21:38Z,2026-08-05T14:21:39Z,2026-08-05T14:21:43Z,4s,1.0s,6,8.9883s,37.4511%,0.0MB,0.0MB,0.0%,0
105305,gw2965,nodes,COMPLETED,2026-08-05T14:21:39Z,2026-08-05T14:21:42Z,2026-08-05T14:21:43Z,1s,3.0s,6,2.6937s,44.8955%,0.0MB,0.0MB,0.0%,0
105306,gw2965,nodes,COMPLETED,2026-08-05T14:21:40Z,2026-08-05T14:21:42Z,2026-08-05T14:21:43Z,1s,2.0s,6,2.702s,45.0329%,0.0MB,0.0MB,0.0%,0
105307,gw2965,nodes,COMPLETED,2026-08-05T14:21:41Z,2026-08-05T14:21:42Z,2026-08-05T14:21:46Z,4s,1.0s,6,9.1299s,38.0411%,0.0MB,0.0MB,0.0%,0
105308,gw2965,nodes,COMPLETED,2026-08-05T14:21:42Z,2026-08-05T14:21:45Z,2026-08-05T14:21:49Z,4s,3.0s,6,9.5672s,39.8633%,0.0MB,0.0MB,0.0%,0
105309,gw2965,nodes,COMPLETED,2026-08-05T14:21:43Z,2026-08-05T14:21:45Z,2026-08-05T14:21:49Z,4s,2.0s,6,9.079s,37.829%,0.0MB,0.0MB,0.0%,0
105310,gw2965,nodes,COMPLETED,2026-08-05T14:21:44Z,2026-08-05T14:21:45Z,2026-08-05T14:21:47Z,2s,1.0s,6,2.7257s,22.7143%,0.0MB,0.0MB,0.0%,0
105311,gw2965,nodes,COMPLETED,2026-08-05T14:21:45Z,2026-08-05T14:21:48Z,2026-08-05T14:21:50Z,2s,3.0s,6,2.7911s,23.2594%,0.0MB,0.0MB,0.0%,0
105312,gw2965,nodes,COMPLETED,2026-08-05T14:21:46Z,2026-08-05T14:21:48Z,2026-08-05T14:21:52Z,4s,2.0s,6,9.3934s,39.1391%,0.0MB,0.0MB,0.0%,0
105313,gw2965,nodes,COMPLETED,2026-08-05T14:21:47Z,2026-08-05T14:21:48Z,2026-08-05T14:21:52Z,4s,1.0s,6,9.0254s,37.606%,0.0MB,0.0MB,0.0%,0
105314,gw2965,nodes,COMPLETED,2026-08-05T14:21:48Z,2026-08-05T14:21:49Z,2026-08-05T14:21:50Z,1s,1.0s,6,2.5945s,43.2409%,0.0MB,0.0MB,0.0%,0
105315,gw2965,nodes,COMPLETED,2026-08-05T14:21:49Z,2026-08-05T14:21:51Z,2026-08-05T14:21:52Z,1s,2.0s,6,2.7449s,45.7485%,0.0MB,0.0MB,0.0%,0
105316,gw2965,nodes,COMPLETED,2026-08-05T14:21:50Z,2026-08-05T14:21:51Z,2026-08-05T14:21:54Z,3s,1.0s,6,8.5693s,47.607%,0.0MB,0.0MB,0.0%,0
105317,gw2965,nodes,COMPLETED,2026-08-05T14:21:51Z,2026-08-05T14:21:54Z,2026-08-05T14:21:55Z,1s,3.0s,6,2.7714s,46.1904%,0.0MB,0.0MB,0.0%,0
105318,gw2965,nodes,COMPLETED,2026-08-05T14:21:52Z,2026-08-05T14:21:54Z,2026-08-05T14:21:55Z,1s,2.0s,6,2.9584s,49.3072%,0.0MB,0.0MB,0.0%,0
105319,gw2965,nodes,COMPLETED,2026-08-05T14:21:53Z,2026-08-05T14:21:54Z,2026-08-05T14:21:55Z,1s,1.0s,6,2.9171s,48.6181%,0.0MB,0.0MB,0.0%,0
105320,gw2965,nodes,COMPLETED,2026-08-05T14:21:54Z,2026-08-05T14:21:57Z,2026-08-05T14:22:01Z,4s,3.0s,6,9.7486s,40.6192%,0.0MB,0.0MB,0.0%,0
105321,gw2965,nodes,COMPLETED,2026-08-05T14:21:55Z,2026-08-05T14:21:57Z,2026-08-05T14:22:01Z,4s,2.0s,6,9.4143s,39.2261%,0.0MB,0.0MB,0.0%,0
